variante,fehlerklasse,ebene,spiegelt_regel_exakt,erwartet_unentdeckt,erwartete_regeln,anmerkung,n,tp,recall,ci_unten,ci_oben,wiederholungen
F5-e,F5,zellebene,nein,True,,"Liegt innerhalb der Toleranz von R-031 und soll unentdeckt bleiben; die Variante prueft, ob die Toleranzgrenze korrekt implementiert ist.",3000,0,0.0,0.0,0.0012288708038255115,5
F5-f,F5,zellebene,ja,False,R-029,,3000,3000,1.0,0.9987711291961745,1.0,5
F5-g,F5,zellebene,ja,False,R-039,,3000,3000,1.0,0.9987711291961745,1.0,5
F5-h,F5,zellebene,ja,False,R-042,,2691,2691,1.0,0.9986301180928148,1.0,5
F5-i,F5,zellebene,ja,False,R-035,,3000,3000,1.0,0.9987711291961745,1.0,5
F6-a,F6,satzebene,ja,False,"R-043, R-045",,6000,6000,1.0,0.9993853757165824,1.0,5
F6-b,F6,satzebene,ja,False,R-043,,6000,6000,1.0,0.9993853757165824,1.0,5
F6-c,F6,satzebene,ja,False,R-045,,6000,6000,1.0,0.9993853757165824,1.0,5
F6-d,F6,satzebene,ja,False,R-046,,6000,5407,0.9011666666666667,0.8933357480458459,0.9086050130995467,5
F7-a,F7,zellebene,ja,False,R-055,,3000,3000,1.0,0.9987711291961745,1.0,5
F7-b,F7,zellebene,ja,False,R-055,,3000,3000,1.0,0.9987711291961745,1.0,5
F7-c,F7,zellebene,ja,False,R-056,,231,231,1.0,0.9841576561234423,1.0,5
F7-d,F7,zellebene,nein,True,,Das Feld tarifgeneration wird von keiner Regel geprueft; erwartet unentdeckt.,231,0,0.0,0.0,0.015842343876557693,5
F8-a,F8,zellebene,ja,False,R-052,,2998,984,0.32821881254169444,0.311417964028446,0.34535552305950973,5
F8-b,F8,zellebene,ja,False,R-053,,3000,2169,0.723,0.7066072229564411,0.7389567901638373,5
F8-c,F8,zellebene,ja,False,R-053,,3000,747,0.249,0.23360992781025178,0.2648810321261186,5
F8-d,F8,zellebene,ja,False,R-054,,3000,406,0.13533333333333333,0.12328578930591311,0.1480967880410937,5
F8-e,F8,zellebene,nein,True,,"R-054 prueft gegen den Median der uebrigen Angebote; skaliert man alle Angebote einer Anfrage, wandert der Median mit. Strukturelle Grenze relationaler Plausibilitaetspruefung, erwartet unentdeckt.",2989,362,0.1211107393777183,0.10962238093169858,0.13334632341650596,5
HO1-a,HO1,satzebene,nein,True,,Held-out: unscharfe Dublette; der Katalog kennt nur exakte Duplikate.,6000,4794,0.799,0.7886322393385246,0.8090762326149554,5
HO1-b,HO1,satzebene,nein,True,,Held-out: Tippfehler im Vornamen; keine Regel prueft Namensaehnlichkeit.,6000,4791,0.7985,0.7881230619627067,0.8085859003849751,5
HO2-a,HO2,zellebene,nein,True,,Held-out: die ersetzte Postleitzahl existiert und der Ort wird mitgezogen; der Datensatz bleibt in sich stimmig.,3000,0,0.0,0.0,0.0012288708038255115,5
HO2-b,HO2,zellebene,nein,True,,"Held-out: kohaerente Senkung um 15 Prozent; R-031, R-032 und R-036 bleiben erfuellt, der Wert bleibt im plausiblen Korridor.",3000,0,0.0,0.0,0.0012288708038255115,5
